CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
3/27/2021,310550,161552,9021,1722,549338,35,
3/28/2021,312206,161843,9050,1726,549863,35,
3/29/2021,313866,162114,9079,1729,550572,35,
3/30/2021,317646,162468,9112,1731,551457,35,
3/31/2021,321515,162927,9155,1735,552534,35,
4/1/2021,325284,163396,9173,1737,553611,35,
4/2/2021,328206,164110,9191,1740,554563,35,
4/3/2021,330193,164623,9198,1744,555302,35,
4/4/2021,331433,165101,9210,1748,555598,35,
4/5/2021,332752,165547,9229,1752,556116,35,
4/6/2021,336947,166177,9251,1756,556977,35,
4/7/2021,340776,166862,9286,1758,559570,35,
4/8/2021,345025,167642,9311,1764,560595,35,
4/9/2021,348718,168436,9325,1765,561491,35,
4/10/2021,351334,169275,9352,1768,562203,35,
4/11/2021,353137,170179,9369,1770,562506,35,
4/12/2021,354617,171058,9393,1775,562985,35,
4/13/2021,358425,172085,9422,1782,563820,35,
4/14/2021,361884,173123,9471,1788,564774,35,
4/15/2021,365444,174308,9506,1790,565679,35,
4/16/2021,368749,175649,9552,1794,566548,35,
4/17/2021,371678,177150,9593,1797,567245,35,
4/18/2021,373335,178769,9610,1801,567582,35,
4/19/2021,374682,180530,9629,1802,568086,35,
4/20/2021,378003,182553,9682,1806,568927,35,
4/21/2021,381475,184657,9737,1808,569786,35,
4/22/2021,383502,186920,9778,1811,570752,35,
4/23/2021,386416,189544,9834,1812,571536,35,
4/24/2021,389492,192311,9890,1813,572284,35,
4/25/2021,390797,195123,9939,1817,572577,35,
4/26/2021,391936,197894,9968,1820,573071,35,
4/27/2021,395022,201187,10031,1821,573725,35,
4/28/2021,398185,204832,10052,1825,574692,35,
4/29/2021,401186,208330,10160,1828,575564,35,
4/30/2021,403781,211853,10199,1831,576317,35,
5/1/2021,406437,215542,10281,1833,577031,35,
5/2/2021,407639,218959,10342,1834,577366,35,
5/3/2021,408622,222408,10391,1840,577870,35,
5/4/2021,411588,226188,10441,1847,578745,35,
5/5/2021,414399,230168,10501,1851,579539,35,
5/6/2021,416949,234083,10566,1860,580338,35,
5/7/2021,419114,238270,10712,1865,581095,35,
5/8/2021,421316,242347,10796,1874,581724,35,
5/9/2021,422340,246116,10860,1875,581972,35,
5/10/2021,423229,249992,10931,1879,582386,35,
5/11/2021,425540,254197,11045,1884,583072,35,
5/12/2021,428034,258317,11148,1891,583840,35,
5/13/2021,430417,262317,11249,1893,584605,35,
5/14/2021,432628,266207,11330,1896,585259,35,
5/15/2021,434715,270284,11424,1900,585754,36,
5/16/2021,435751,274390,11471,1903,586030,37,
5/17/2021,436537,278719,11587,1904,586430,37,
5/18/2021,439050,283248,11803,1912,587200,37,
5/19/2021,441691,287122,11900,1916,587871,37,
5/20/2021,444094,291331,12006,1922,588550,39,
5/21/2021,446309,295525,12119,1926,589165,41,
5/22/2021,448208,299266,12203,1931,589656,42,
5/23/2021,449068,303720,12265,1934,589850,43,
5/24/2021,449858,307231,12351,1938,590295,44,
5/25/2021,452031,311388,12457,1940,590924,44,
5/26/2021,454429,315235,12573,1943,591899,45,
5/27/2021,456674,318895,12691,1946,593251,46,
5/28/2021,459045,322512,12786,1951,593809,47,
5/29/2021,461057,325972,12877,1957,594137,47,
5/30/2021,461931,329100,12926,1959,594268,47,
5/31/2021,462791,331895,13006,1963,594415,47,
6/1/2021,465199,335102,13107,1965,595059,48,
6/2/2021,467706,337989,13220,1968,595612,49,
6/3/2021,469388,340702,13331,1969,596226,49,
6/4/2021,470842,344082,13417,1971,596756,51,
6/5/2021,472531,346759,13481,1973,597130,53,
6/6/2021,473404,349186,13531,1974,597297,53,
6/7/2021,474414,351309,13606,1975,597610,53,
6/8/2021,476792,353528,13705,1977,597946,55,
6/9/2021,479515,355705,13801,1979,598387,55,
6/10/2021,482019,363079,13872,1981,598813,55,
6/11/2021,484235,367081,13936,1982,599460,57,
6/12/2021,486272,370384,13991,1985,599740,58,
6/13/2021,487401,374305,14023,1988,599851,59,
6/14/2021,488228,377031,14083,1992,600021,59,
6/15/2021,490696,379573,14150,1993,600329,61,
6/16/2021,493693,381903,14230,1994,600697,61,
6/17/2021,496004,383490,14277,1996,600978,61,
6/18/2021,498499,385137,14325,1997,601571,62,
6/19/2021,500800,386708,14353,2002,601741,64,
6/20/2021,501825,388135,14373,2004,601824,66,
6/21/2021,502586,389302,14408,2006,602092,69,
